,股票名称,股票代码,形态识别,左底id,左底价格,右底id,右底价格,中顶id,中顶价格,收盘价格,颈线价格,首次突破,突破幅度,当日涨幅,突破放量,当前成交量-手,平均成交量-手
37,九芝堂,000989.SZ,True,2021-09-29,8.35,2021-11-08,8.35,2021-10-18,9.03,,,,False,,,,
38,浙江鼎力,603338.SH,True,2021-10-29,68.31,2021-11-15,68.2,2021-11-08,73.02,82.33,73.02,,True,,,,
39,华天科技,002185.SZ,True,2021-09-30,12.09,2021-10-28,12.32,2021-10-18,12.86,13.81,12.86,,True,,,,
40,劲嘉股份,002191.SZ,True,2021-10-12,10.53,2021-10-28,10.74,2021-10-26,11.25,15.23,11.25,,True,,,,
41,北新建材,000786.SZ,True,2021-11-08,26.69,2021-11-10,26.58,2021-11-09,26.76,,,,False,,,,
42,路畅科技,002813.SZ,True,2021-09-29,21.27,2021-10-28,21.4,2021-10-26,22.68,26.77,22.68,,True,,,,
43,东方钽业,000962.SZ,True,2021-11-05,10.29,2021-11-16,10.09,2021-11-08,10.68,11.58,10.68,,True,,,,
44,*ST金刚,300064.SZ,True,2021-09-29,1.71,2021-10-28,1.71,2021-10-15,1.9,,,,False,,,,
45,苏泊尔,002032.SZ,True,2021-10-20,44.96,2021-10-27,45.4,2021-10-25,50.06,61.54,50.06,,True,,,,
46,捷安高科,300845.SZ,True,2021-09-29,18.37,2021-10-27,18.6,2021-10-18,24.3,,,,False,,,,
47,中联重科,000157.SZ,True,2021-11-03,7.0,2021-11-16,6.88,2021-11-08,7.13,,,,False,,,,
48,顺发恒业,000631.SZ,True,2021-11-08,3.52,2021-11-29,3.46,2021-11-23,3.63,,,,False,,,,
49,宝丰能源,600989.SH,True,2021-11-02,14.12,2021-11-15,13.86,2021-11-04,14.54,16.24,14.54,,True,,,,
50,浙能电力,600023.SH,True,2021-10-15,3.56,2021-11-11,3.62,2021-11-04,3.86,,,,False,,,,
51,侨银股份,002973.SZ,True,2021-11-02,14.65,2021-11-30,14.45,2021-11-11,15.06,,,,False,,,,
52,辉隆股份,002556.SZ,True,2021-10-15,9.6,2021-10-27,9.69,2021-10-21,9.87,12.07,9.87,,True,,,,
53,中国化学,601117.SH,True,2021-10-13,9.83,2021-11-15,9.96,2021-10-26,11.53,,,,False,,,,
54,拓日新能,002218.SZ,True,2021-10-12,6.67,2021-11-16,6.66,2021-10-25,7.69,,,,False,,,,
55,山东黄金,600547.SH,True,2021-10-13,19.15,2021-11-29,19.1,2021-11-11,20.96,,,,False,,,,
56,未名医药,002581.SZ,True,2021-09-29,14.2,2021-11-18,14.21,2021-10-15,16.89,20.01,16.89,,True,,,,
57,圣阳股份,002580.SZ,True,2021-10-12,8.09,2021-11-16,8.14,2021-10-19,9.34,,,,False,,,,
58,邮储银行,601658.SH,True,2021-09-30,5.08,2021-11-30,5.08,2021-11-01,5.62,,,,False,,,,
59,奥维通信,002231.SZ,True,2021-09-29,4.95,2021-10-28,4.99,2021-10-25,5.29,5.87,5.29,,True,,,,
60,苏州银行,002966.SZ,True,2021-11-08,6.77,2021-11-29,6.67,2021-11-19,6.82,,,,False,,,,
61,葫芦娃,605199.SH,True,2021-09-29,20.56,2021-11-02,20.59,2021-10-13,23.0,24.39,23.0,,True,,,,
62,宜宾纸业,600793.SH,True,2021-09-29,13.57,2021-11-24,13.82,2021-10-25,16.4,,,,False,,,,
63,山东钢铁,600022.SH,True,2021-11-09,1.69,2021-11-16,1.66,2021-11-11,1.71,,,,False,,,,
64,招商银行,600036.SH,True,2021-09-30,50.45,2021-11-30,49.49,2021-10-26,55.3,,,,False,,,,
