,DQCode,DQName,DateType,HYCode,HYName,HdDate,Hkcode,JG_SUM,LTSZ,LTZB,LTZB_One,Market,NewPrice,ORIGINALCODE,ORIGINALCODE_DQ,SCode,SName,ShareHold,ShareHold_Before_One,ShareHold_Chg_One,ShareSZ,ShareSZ_Before_One,ShareSZ_Chg_One,ShareSZ_Chg_Rate_One,SharesRate,ZSZ,ZZB,ZZB_One,Zdf
45,020002,北京板块,10,016038,旅游酒店,2021-07-26,1000008074,86.0,513462018561.12,0.0953520153284952,-0.0020111000732491,001,262.98,485,150,601888,中国中免,186172478.0,0.0,-3918246.0,48959638264.44,0.0,-1121836393.82,-0.0206565771697281,9.53,513462018561.12,0.0953520153284952,-0.0020111000732491,-5.2939
46,020002,北京板块,5,016038,旅游酒店,2021-07-26,1000008074,86.0,513462018561.12,0.0953520153284952,-0.000797204149781154,001,262.98,485,150,601888,中国中免,186172478.0,0.0,-1565070.0,48959638264.44,0.0,-451733700.5,-0.00829094457983981,9.53,513462018561.12,0.0953520153284952,-0.000797204149781154,-5.2939
47,020002,北京板块,3,016038,旅游酒店,2021-07-26,1000008074,86.0,513462018561.12,0.0953520153284952,-0.000251379559957467,001,262.98,485,150,601888,中国中免,186172478.0,0.0,-492774.0,48959638264.44,0.0,-139729394.42,-0.00262937230052027,9.53,513462018561.12,0.0953520153284952,-0.000251379559957467,-5.2939
48,020002,北京板块,1,016038,旅游酒店,2021-07-26,1000008074,86.0,513462018561.12,0.0953520153284952,7.72583777514303e-05,001,262.98,485,150,601888,中国中免,186172478.0,0.0,159277.0,48959638264.44,0.0,41886665.46,0.000810937569580244,9.53,513462018561.12,0.0953520153284952,7.72583777514303e-05,-5.2939
49,020005,广东板块,y,016019,家电行业,2021-07-26,1000004198,79.0,284276516325.89,0.167695530138619,0.00313969155020849,003,47.63,456,153,000651,格力电器,1000879721.0,0.0,11030806.0,47671901111.23,0.0,1067866572.27,0.0189365936962868,16.63,286529261719.14,0.166377077249299,0.00311589183495806,-2.8356
50,020005,广东板块,jd,016019,家电行业,2021-07-26,1000004198,79.0,284276516325.89,0.167695530138619,-0.000536249132449569,003,47.63,456,153,000651,格力电器,1000879721.0,0.0,-9145477.0,47671901111.23,0.0,-190872060.81,-0.00316970016298533,16.63,286529261719.14,0.166377077249299,-0.000532184218284755,-2.8356
51,020005,广东板块,m,016019,家电行业,2021-07-26,1000004198,79.0,284276516325.89,0.167695530138619,-0.00291479391196126,003,47.63,456,153,000651,格力电器,1000879721.0,0.0,-19018948.0,47671901111.23,0.0,-895063064.68,-0.0170573370827356,16.63,286529261719.14,0.166377077249299,-0.00289187726980734,-2.8356
52,020005,广东板块,10,016019,家电行业,2021-07-26,1000004198,79.0,284276516325.89,0.167695530138619,-0.000865930949132427,003,47.63,456,153,000651,格力电器,1000879721.0,0.0,-6156623.0,47671901111.23,0.0,-252830878.43,-0.00513214030301684,16.63,286529261719.14,0.166377077249299,-0.000859122841838859,-2.8356
53,020005,广东板块,5,016019,家电行业,2021-07-26,1000004198,79.0,284276516325.89,0.167695530138619,-0.000627058671824564,003,47.63,456,153,000651,格力电器,1000879721.0,0.0,-4667901.0,47671901111.23,0.0,-192666904.45,-0.00372191060832682,16.63,286529261719.14,0.166377077249299,-0.00062212862200775,-2.8356
54,020005,广东板块,3,016019,家电行业,2021-07-26,1000004198,79.0,284276516325.89,0.167695530138619,-0.00171502926655705,003,47.63,456,153,000651,格力电器,1000879721.0,0.0,-10868242.0,47671901111.23,0.0,-511290156.15,-0.0101171828721163,16.63,286529261719.14,0.166377077249299,-0.00170154539319506,-2.8356
55,020005,广东板块,1,016019,家电行业,2021-07-26,1000004198,79.0,284276516325.89,0.167695530138619,-0.00193114016916696,003,47.63,456,153,000651,格力电器,1000879721.0,0.0,-11862246.0,47671901111.23,0.0,-564998776.98,-0.0113808681963401,16.63,286529261719.14,0.166377077249299,-0.0019159571924137,-2.8356
56,020005,广东板块,y,016028,保险,2021-07-26,1000002667,97.0,590380215141.0,0.0793765181372277,0.00581349082334327,001,54.5,474,153,601318,中国平安,859859190.0,0.0,42558509.0,46862325855.0,0.0,4810075995.86,0.0770531545066453,7.93,996273156845.0,0.0470376277158804,0.00344500897110852,-5.4476
57,020005,广东板块,jd,016028,保险,2021-07-26,1000002667,97.0,590380215141.0,0.0793765181372277,-0.00348354257803013,001,54.5,474,153,601318,中国平安,859859190.0,0.0,-38518330.0,46862325855.0,0.0,-2853599950.69,-0.0420046663815657,7.93,996273156845.0,0.0470376277158804,-0.0020643079686932,-5.4476
58,020005,广东板块,m,016028,保险,2021-07-26,1000002667,97.0,590380215141.0,0.0793765181372277,0.000385084605851928,001,54.5,474,153,601318,中国平安,859859190.0,0.0,3806816.0,46862325855.0,0.0,275151634.65,0.00487294056442685,7.93,996273156845.0,0.0470376277158804,0.000228196786080546,-5.4476
59,020005,广东板块,10,016028,保险,2021-07-26,1000002667,97.0,590380215141.0,0.0793765181372277,0.001774302945688,001,54.5,474,153,601318,中国平安,859859190.0,0.0,18257720.0,46862325855.0,0.0,1141693454.59,0.0228379217641471,7.93,996273156845.0,0.0470376277158804,0.00105143187649244,-5.4476
60,020005,广东板块,5,016028,保险,2021-07-26,1000002667,97.0,590380215141.0,0.0793765181372277,-0.000274296347949376,001,54.5,474,153,601318,中国平安,859859190.0,0.0,-3731728.0,46862325855.0,0.0,-176350234.42,-0.00344070351879529,7.93,996273156845.0,0.0470376277158804,-0.000162544916323523,-5.4476
